"params","values","category","notes"
"Activity_Parameters",6.61,"Activity","Terrestrial Warming Tolerance Intercept"
"Activity_Parameters",1.6,"Activity","Terrestrial Warming Tolerance Slope"
"Activity_Parameters",1.51,"Activity","Terrestrial TSM Intercept"
"Activity_Parameters",1.53,"Activity","Terrestrial TSM Slope"
"Dispersal_Parameters",0.0278,"Diffusive Dispersal","Speed Body Mass Scalar"
"Dispersal_Parameters",0.48,"Diffusive Dispersal","Speed Body Mass Exponent"
"Dispersal_Parameters",50000,"Responsive Dispersal","Density Threshold Scaling"
"Dispersal_Parameters",0.0278,"Responsive Dispersal","Speed Body Mass Scalar"
"Dispersal_Parameters",0.48,"Responsive Dispersal","Speed Body Mass Exponent"
"Dispersal_Parameters",0.8,"Responsive Dispersal","Starvation Dispersal Body Mass Threshold"
"EatingCarnivory_Parameters",0.5,"Eating Carnivory","Handling Time Scalar Terrestrial"
"EatingCarnivory_Parameters",0.7,"Eating Carnivory","Handling Time Exponent Terrestrial"
"EatingCarnivory_Parameters",0.5,"Eating Carnivory","Handling Time Scalar Marine (not applicable to current version)"
"EatingCarnivory_Parameters",0.7,"Eating Carnivory","Handling Time Exponent Marine (not applicable to current version)"
"EatingCarnivory_Parameters",1,"Eating Carnivory","Referenc eMass"
"EatingCarnivory_Parameters",6e-06,"Eating Carnivory","Kill Rate Constant"
"EatingCarnivory_Parameters",1,"Eating Carnivory","Kill Rate Constant Mass Exponent"
"EatingCarnivory_Parameters",0.7,"Eating Carnivory","Feeding Preference Standard Deviation"
"EatingOmnivory_Parameters",0.1,"Eating Omnivory","Max Allowed Prey Ratio Omnivores"
"EatingHerbivory_Parameters",0.7,"Eating Herbivory","Handling Time Scalar Terrestrial"
"EatingHerbivory_Parameters",0.7,"Eating Herbivory","Handling Time Scalar Marine (not applicable to current version)"
"EatingHerbivory_Parameters",0.7,"Eating Herbivory","Handling Time Exponent Terrestrial"
"EatingHerbivory_Parameters",0.7,"Eating Herbivory","Handling Time Exponent Marine (not applicable to current version)"
"EatingHerbivory_Parameters",1,"Eating Herbivory","Reference Mass"
