FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.56145e+010,2.20017e+008
0,0.1,1,3.59131e+010,1.9317e+009
0,1,10,3.70459e+009,1.38565e+009
0,10,100,1.66649e+008,5.97172e+008
0,100,1000,3.03073e+006,3.40116e+008
0,1000,10000,430496,3.53565e+008
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.60355e+007,1.60842e+008
1,10,100,6.83972e+008,1.56763e+009
1,100,1000,1.72272e+006,1.84206e+008
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,2.95602e+010,1.22163e+009
2,1,10,1.20889e+010,2.26876e+009
2,10,100,2.66598e+008,8.62004e+008
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.91512e+012,5.89258e+009
3,0.01,0.1,9.80659e+011,5.08654e+009
3,0.1,1,1.1335e+009,5.60443e+007
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,68567.8,465.728
4,0.01,0.1,1.39457e+011,1.20047e+009
4,0.1,1,7.44213e+010,2.22112e+009
4,1,10,5.23056e+008,6.36359e+007
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.64642e+011,1.58327e+009
5,0.01,0.1,9.31285e+011,1.84114e+009
5,0.1,1,3.76978e+009,2.08737e+008
5,1,10,1.15292e+008,9.66475e+006
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.60605e+010,1.86403e+008
6,0.1,1,2.20132e+009,1.27373e+008
6,1,10,7.94786e+007,8.75638e+007
6,10,100,1.26605e+007,1.55157e+008
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,9.93319e+008,6.58471e+006
7,0.1,1,4.86379e+010,1.18368e+009
7,1,10,3.62802e+008,2.70908e+008
7,10,100,1.40335e+008,6.08545e+008
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,1.08979e+010,7.8985e+007
8,0.1,1,3.79126e+009,2.92247e+008
8,1,10,8.49803e+007,3.35616e+007
8,10,100,4.43769e+007,3.04473e+008
8,100,1000,0,0
8,1000,10000,0,0
