GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,3832.94,455902,158953,75043.3,-2.34468,0,0.5,2,0,4294967295,0,19,19,0
0,0,1905.67,36593,36593,12804.1,-2.30426,0,0.5,2,14555.1,11,1,19,12,7
0,0,664.751,11184.4,11184.4,17073.9,-2.20265,0,0.5,2,6343.41,8,1,19,9,10
0,0,16038.3,348711,284921,12836.5,-2.46243,0,0.5,2,0,4294967295,0,19,19,0
0,0,31.7637,1504.98,1504.98,1295.93,-2.24328,6,0.5,2,777.399,12,1,12,6,6
0,0,3.26323,44.6019,44.6019,2.12173e+006,-2.35147,11,0.5,2,65.4133,14,1,7,3,4
0,0,49.8727,2594.96,1703.41,3.09083e+007,-2.24328,12,0.5,2,1.13871,4294967295,0,6,6,0
0,0,14.6203,453.483,453.483,7.30244e+006,-2.71651,13,0.5,2,312.109,18,1,5,5,0
0,0,31.2915,1493.45,357.389,3.15893e+007,-2.24328,15,0.5,2,0,4294967295,0,3,3,0
0,0,14.5959,442.04,233.614,22448.2,-2.71651,15,0.5,2,0,4294967295,0,3,3,0
0,0,2682.77,127550,127550,55116.9,-2.50065,0,0.5,2,14230.7,18,1,19,19,0
0,0,670.996,12009.9,1654.54,4.53452e+006,-2.20265,16,0.5,2,0,4294967295,0,2,2,0
0,0,1981.04,36522.3,4156.88,619041,-2.30426,16,0.5,2,0,4294967295,0,2,2,0
0,0,2.52228,88.5804,35.8441,69436.6,-2.24328,16,0.5,2,0,4294967295,0,2,2,0
0,0,3.56454,42.1353,42.1353,376991,-2.35147,16,0.5,2,1.59952,18,1,2,2,0
0,0,3.5336,43.909,14.2059,6.91056e+006,-2.35147,17,0.5,2,0,4294967295,0,1,1,0
0,0,32.5396,1501.74,84.8661,3.6838e+006,-2.24328,17,0.5,2,0,4294967295,0,1,1,0
0,1,1578.92,24805.7,24805.7,1981.53,-0.0148822,0,0.5,3.99343,17692.6,3,1,19,4,15
0,1,1581.78,25836.5,18124.5,3.45967e+006,-0.0148822,10,0.5,3.99794,0,4294967295,0,8,8,0
0,1,1599.95,25369.9,6411.6,2.06357e+007,-0.0148822,16,0.5,3.35241,0,4294967295,0,2,2,0
0,1,1554.23,24753.2,4555.78,640518,-0.0148822,17,0.5,3.45433,0,4294967295,0,1,1,0
0,2,926.476,13521.7,13521.7,17789,-2.46243,0,0.5,3.10873,11078.1,11,1,19,12,7
0,2,425.126,7011.96,7011.96,39048.8,-2.20265,10,0.5,3.1495,3475.78,14,1,8,4,4
0,2,8.68795,263.68,263.68,2.81013e+007,-2.71651,12,0.5,2.67358,145.577,14,1,6,2,4
0,2,113.524,3413.69,3413.69,1.14417e+006,-2.50065,12,0.5,3.28259,1820.66,16,1,6,4,2
0,2,823.296,44769.6,44769.6,87813.6,-2.71651,0,0.5,2.57737,14188.8,16,1,19,17,2
0,2,926.476,13521.7,6928.46,357415,-2.46243,14,0.5,3.51369,0,4294967295,0,4,4,0
0,2,113.463,9069.94,2169.53,6.63465e+006,-2.34468,14,0.5,2.50714,0,4294967295,0,4,4,0
0,2,35.8125,2457.55,952.567,1.23635e+008,-2.34468,14,0.5,2.50632,0,4294967295,0,4,4,0
0,2,25.3283,531.856,323.625,3.03234e+007,-2.35147,15,0.5,2.00196,2.87013e-015,4294967295,0,3,3,0
0,2,9.04783,265.655,95.9026,2.32342e+006,-2.71651,15,0.5,2.00233,0,4294967295,0,3,3,0
0,2,123.796,3580.85,1000.44,9.94315e+006,-2.50065,15,0.5,2.82603,0,4294967295,0,3,3,0
0,2,926.476,13521.7,2385.88,264833,-2.46243,16,0.5,3.57799,0,4294967295,0,2,2,0
0,2,425.126,7011.96,1261.71,3.13831e+006,-2.20265,16,0.5,3.0291,0,4294967295,0,2,2,0
0,2,119.954,8547.5,632.517,9.71623e+006,-2.34468,16,0.5,2.15313,0,4294967295,0,2,2,0
0,2,113.524,3413.69,170.078,2.36214e+007,-2.50065,17,0.5,2.03764,0,4294967295,0,1,1,0
0,2,8.91931,268.573,18.1419,1.03483e+007,-2.71651,17,0.5,2.00014,0,4294967295,0,1,1,0
0,2,425.126,7011.96,571.127,653393,-2.20265,17,0.5,2.02655,0,4294967295,0,1,1,0
0,3,10.0063,246.996,246.996,828517,-2.18799,10,0.131027,2,240.282,17,1,8,7,1
0,3,4.87042,110.696,110.696,5.29969e+006,-2.20756,12,0.131027,2,86.0705,17,1,6,5,1
