GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,12272.1,2,1,700,74.5016,11.118,22.523,0,58.659,1.71653,245988,161499,3.94003e+006,82500,1107.88,0.088268,1,23.0089,0.851684,0.0941706,108.781,1058.17,0,0,0
1,0,2,0,1,12272.1,2,1,800,36.1227,11.4033,22.4475,0,44.4361,1.30315,245988,161499,3.94003e+006,82500,953.161,0.0854304,1,23.0266,0.907472,0.0965708,97.5807,953.161,0,0,0
2,0,2,0,2,12272.1,2,1,800,-4.26321,11.2016,22.8672,0,29.6607,1.5689,245988,161499,3.94003e+006,82500,753.489,0.121977,1,23.4008,0.961275,0.0943409,78.5789,753.489,0,0,0
3,0,2,0,3,12272.1,2,1,800,178.975,10.5049,20.6721,0,25.4459,1.48031,245988,161499,3.94003e+006,82500,698.126,0.110523,1,21.3126,1.10511,0.0958408,71.7433,698.126,0,0,0
4,0,2,1,0,12286.7,2,1,700,167.342,10.3574,22.1377,0,67.9607,1.74606,200000,161499,3.94003e+006,82500,1070.84,0.0794162,1,22.3887,0.587773,0.0888999,106.648,1042.55,0,0,0
5,0,2,1,1,12286.7,2,1,800,119.103,10.2492,22.4607,0,64.2607,1.27362,245988,161499,3.94003e+006,82500,954.693,0.089377,1,22.6238,0.625373,0.0860395,96.529,954.693,0,0,0
6,0,2,1,2,12286.7,2,1,800,84.9103,10.3459,22.377,0,43.9443,1.27362,245988,161499,1.18051e+006,82500,831.369,0.116075,1,22.6534,0.758268,0.0883201,85.5539,831.369,0,0,0
7,0,2,1,3,12286.7,2,1,800,54.41,9.92951,20.382,0,42.1869,1.80512,245988,161499,3.94003e+006,82500,704.867,0.115215,1,20.8261,0.962726,0.0913824,70.9066,704.868,0,0,0
8,0,2,2,0,12297.7,2,1,745.783,359.159,9.87377,22.0492,0,132.779,2.04134,245988,161499,3.94003e+006,82500,1175.34,0.0800525,1,22.1854,0.361509,0.0865584,107.579,1098.29,0,0,0
9,0,2,2,1,12297.7,2,1,783.133,327.521,10.6803,22.3672,0,117.021,1.59843,245988,66492.1,1.18051e+006,82500,1148.22,0.0783859,1,22.569,0.499166,0.0878488,109.479,1128.16,0,0,0
10,0,2,2,2,12297.7,2,1,800,290.205,10.1607,22.5721,0,78.0279,1.12598,245988,161499,1.18051e+006,82500,922.052,0.100722,1,22.6816,0.594711,0.0846498,92.0208,922.053,0,0,0
11,0,2,2,3,12297.7,2,1,400,137.605,10.4361,21.3902,0,71.9508,2.04134,245988,161499,3.94003e+006,82500,820.026,0.126479,1,21.6266,0.828708,0.086545,88.9561,820.026,0,0,0
12,0,2,3,0,12305,2,1,800,397.081,8.95738,21.4623,0,294.657,2.10039,245988,161499,3.94003e+006,82500,1967.46,0.0762742,1,21.512,0.345926,0.0841471,104.383,1215.07,0,0,0
13,0,2,3,1,12305,2,1,786.747,541.618,10.7508,22.3803,0,159.41,2.07456,200000,66492.1,1.18051e+006,82500,1360,0.0743185,1,22.4429,0.424616,0.0842091,109.796,1226.23,0,0,0
14,0,2,3,2,12305,2,1,769.428,610.785,11.0557,22.4918,0,154.22,1.99705,245988,161499,1.18051e+006,82500,1327.66,0.0840509,1,22.6481,0.594834,0.0860016,110.924,1241.77,0,0,0
15,0,2,3,3,12305,2,1,700,819.008,11.9541,19.8934,0,166.126,2.60236,245988,161499,3.94003e+006,82500,1439.73,0.0907095,1,19.9579,0.642482,0.0831238,94.3633,1124.41,0,0,0
