GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,455902,4.55243e+009,0,0,0
0,0,48304.6,2.91594e+009,0,0,0
0,0,348711,8.77902e+009,0,0,0
0,0,30919,3.34611e+008,0,0,0
0,0,61.2298,4.48944e+007,0,0,0
0,0,11416.8,2.27591e+009,0,0,0
0,0,2565.33,2.67501e+010,0,0,0
0,0,11562.8,1.15159e+008,0,0,0
0,0,55.6536,6.96797e+008,0,0,0
0,0,48304.6,1.64631e+010,0,0,0
0,0,1949.32,7.65517e+008,0,0,0
0,0,61.2298,0,0,0,0
0,0,2.59651e+006,4.41605e+009,0,0,0
0,1,26134.4,0,6.17924e+007,447796,4.43607e+007
0,1,19699.7,0,1.87712e+007,2.04333e+009,2.62092e+007
0,1,19106.3,0,3.50508e+007,5.81643e+007,2.54403e+010
0,1,1554.54,0,5.54297e+011,2.60182e+007,330578
0,1,20764.1,0,0,0,0
0,2,32087.4,2.24095e+007,627334,5.23987e+007,232961
0,2,6734.57,3.85694e+007,1.96396e+006,4.0842e+007,1.96928e+006
0,2,4404.76,5.11691e+007,2.09515e+006,3.32026e+006,1.24519e+006
0,2,4019.33,7.2303e+010,1.14298e+010,1.05527e+009,5.33351e+009
0,2,958.024,7.24082e+008,8.65582e+006,2.12994e+007,1.0339e+009
0,2,2196.66,1.2264e+010,1.85473e+008,2.06956e+009,1.88652e+011
0,2,264.847,6947.5,4.04393e+008,608.479,44631
0,2,7051.89,9.66558e+009,4.8045e+009,1.47508e+008,8.0496e+008
0,2,268.888,2.70706e+007,7.83298e+009,2.59833e+006,22254.1
0,2,4404.76,32166.6,1.59704e+009,6747.9,1778.55
0,2,32087.4,214757,1.03917e+009,15083.2,4.01412e+006
0,2,960.39,0,0,0,0
0,2,270.247,0,0,0,0
0,2,258.597,0,0,0,0
0,3,386.078,2.11805e+007,0,0,0
0,3,3.26513,1.22375e+010,0,0,0
0,3,13.1642,7.82592e+008,0,0,0
0,3,113.887,2.41274e+007,0,0,0
0,3,268.816,2.25247e+008,0,0,0
0,3,64.6307,5.96684e+006,0,0,0
0,3,11.2392,0,0,0,0
0,4,2001,0,1.04005e+007,1.13319e+008,1.16793e+010
0,4,70.031,0,20206.5,8512.84,0
0,4,103.986,0,2.25992e+008,2.2929e+007,1036.72
0,4,1542.6,0,1.63993e+008,655.136,187.484
0,4,70.6555,0,1.44129e+006,5.44242e+006,216.282
0,4,878.942,0,2.71336e+009,6158.24,14832.6
0,4,10.483,0,0,0,0
0,4,451.167,0,1.71999e+009,3.70196e+008,162114
0,4,783.224,0,0,0,0
0,5,2.35958,1.90708e+009,0,0,0
0,5,10.2479,1.32776e+009,618324,5.1931e+008,89.7862
0,5,208.265,4.20602e+007,3.55319e+008,4.40916e+006,13098.4
0,5,664.762,8.57059e+008,1.69435e+009,2.81258e+008,424507
0,5,1013.25,1.94906e+006,8.31741e+009,858501,6201.99
0,5,16.2927,0,0,0,0
0,6,4361.31,1.48896e+007,0,0,0
0,6,29098.3,8.98578e+007,0,0,0
0,6,14255.9,5.52008e+007,0,0,0
0,6,83644,5.81083e+007,0,0,0
0,6,235.422,2.20053e+007,0,0,0
0,6,1993.98,1.47429e+008,0,0,0
0,6,1866.16,1.16708e+009,0,0,0
0,6,432.666,1.94288e+007,0,0,0
0,6,4361.31,6.94504e+007,0,0,0
0,6,2023.09,1.27121e+007,0,0,0
0,6,407.057,5.74517e+006,0,0,0
0,6,4352.16,4.38258e+007,0,0,0
0,6,2086.54,2.40933e+007,0,0,0
0,6,219.67,5.894e+007,0,0,0
0,7,4610.42,0,3.73514e+007,1.93715e+008,1.43599e+007
0,7,376.847,0,4.60068e+008,3563.9,895299
0,7,153.942,0,4.04354e+007,57.6157,608.583
0,7,200.45,0,4.78336e+007,120.378,13862.4
0,7,470.171,0,5.5197e+008,11861.8,2.44387e+006
0,7,4610.42,0,5.53938e+008,3.21078e+007,5.86001e+008
0,7,17723.5,0,2.6923e+006,5.01862e+007,2.73741e+008
0,7,1009.7,0,858206,2.70042e+006,2.47607e+008
0,7,1265.81,0,1.70953e+008,2.94924e+007,2.46689e+009
0,7,174.139,0,1.57089e+008,1.16958e+008,44074.7
0,7,925.104,0,1.8413e+006,483611,1212.78
0,7,203.986,0,4.03007e+008,282890,1130.93
0,7,1225.68,0,5.23046e+009,23413.1,5700.02
0,7,486.29,0,4.89625e+009,38640.8,2897.26
0,7,372,0,3.26524e+009,5.33935e+008,145682
0,7,4610.42,0,1.46766e+009,4518.61,2009.55
0,7,200.45,0,0,0,0
0,7,389.016,0,0,0,0
0,7,153.566,0,0,0,0
0,7,478.885,0,0,0,0
0,7,15897.1,0,3.54257e+006,318014,2.07595e+006
0,8,10676.2,1.37406e+007,479158,3.09155e+007,1.04908e+006
0,8,5733.15,5.19967e+006,305982,4.23206e+006,217061
0,8,1264.17,3.35744e+007,549566,6.41654e+006,6.78679e+008
0,8,733.112,1.33634e+008,1.34536e+006,1.14695e+007,9.94224e+007
0,8,228.681,2.43012e+007,95110.5,1.17913e+006,3.22793e+006
0,8,120.708,524.879,2.71391e+007,98.2371,32.6587
0,8,6067.8,1.61228e+007,231120,197179,2.79351e+008
0,8,5733.15,1371.01,8.77714e+007,114.977,8769.8
0,8,10747.7,5.35804e+007,334523,2.27282e+006,4.22599e+007
0,8,733.112,39824.4,2.14621e+009,3291.58,5838.54
0,8,228.681,1.54819e+008,9.52503e+007,6.34065e+007,17651.5
0,8,120.708,4.92571e+006,1.12867e+008,897254,2458.84
0,8,126.955,0,0,0,0
1,0,123491,5.26535e+008,0,0,0
1,0,1638.9,1.88028e+011,0,0,0
1,0,178.366,2.56249e+009,0,0,0
1,0,101.49,62732.5,0,0,0
1,0,254.357,9870.32,0,0,0
1,0,254.357,0,0,0,0
1,0,124735,0,0,0,0
1,0,183.914,0,0,0,0
1,0,106.645,0,0,0,0
1,0,1366.66,0,0,0,0
1,1,89695.9,0,67470,1.01013e+007,18949.5
1,2,3934.97,975098,9.67405e+006,857203,26957.2
1,2,31625.1,1.61703e+008,3.8046e+008,4.35435e+008,119677
1,2,1264.87,3.99227e+008,1.24118e+008,1.92653e+008,8.35903e+006
1,2,334.471,2.08319e+010,7.40695e+006,6.24207e+009,9.76738e+006
1,2,16445.2,7.2027e+007,1.90741e+009,8.26397e+007,664113
1,2,2268.45,3.07802e+010,3.63414e+010,1.59502e+010,4.62803e+008
1,2,17999.9,0,0,0,0
1,2,2015.97,0,0,0,0
1,2,1277.18,0,0,0,0
1,2,3795.21,0,0,0,0
1,2,304.126,0,0,0,0
1,2,31625.1,0,0,0,0
1,3,3.77405,4.8816e+011,0,0,0
1,3,90.7703,0,0,0,0
1,3,14.8635,0,0,0,0
1,3,3.61673,0,0,0,0
1,3,16.9197,0,0,0,0
1,3,380.571,0,0,0,0
1,4,147.801,0,0,0,0
1,4,422.567,0,0,0,0
1,4,14.2305,0,0,0,0
1,4,23.9263,0,0,0,0
1,4,71.327,0,0,0,0
1,4,31.8316,0,0,0,0
1,4,679.43,0,0,0,0
1,5,2001,1.70635e+008,1.38144e+006,3.16064e+006,1.19937e+006
1,5,943.279,2.63521e+008,7.51682e+006,5.32983e+008,1.96524e+006
1,5,174.795,1.48211e+008,0.00476189,44452.4,370.783
1,5,123.731,2.08571e+008,144.449,7.2442e+007,3458.55
1,5,125.006,0,0,0,0
1,5,2.42248,0,0,0,0
1,5,79.8535,0,0,0,0
1,5,633.967,0,0,0,0
1,5,2.73057,0,0,0,0
1,5,8.14787,0,0,0,0
1,6,30121.6,6.92824e+007,0,0,0
1,6,14189.9,2.78794e+007,0,0,0
1,6,13147.3,1.27328e+008,0,0,0
1,6,612.201,1.47003e+008,0,0,0
1,6,111.565,1.48007e+007,0,0,0
1,6,210.917,1.30207e+008,0,0,0
1,6,1057.54,2.43948e+008,0,0,0
1,6,473.183,1.79594e+008,0,0,0
1,6,439.848,5.43828e+007,0,0,0
1,6,98.7044,162784,0,0,0
1,6,115.167,0,0,0,0
1,6,13115.2,0,0,0,0
1,6,619.916,0,0,0,0
1,6,198.871,0,0,0,0
1,6,13773.4,0,0,0,0
1,7,212.091,0,41441.5,3.95352e+008,85558
1,7,34624.9,0,1.01505e+008,4.69965e+007,56519.3
1,7,115.024,0,3318.85,4.01068e+009,80611.8
1,7,357.163,0,2.16767e+006,2.10765e+007,5.11375e+006
1,7,448.93,0,1.038e+007,2.87317e+007,1.37228e+007
1,7,73.09,0,0.0869296,33.0267,0.190327
1,7,108.504,0,68.7255,24435.6,160.2
1,7,5632.66,0,8.94126e+008,3.41708e+008,3.19887e+006
1,7,197.735,0,325.275,380757,2065.53
1,7,321.155,0,185.784,9.84063e+007,1327.02
1,7,119.732,0,0,0,0
1,7,6101.1,0,0,0,0
1,7,219.917,0,0,0,0
1,7,387.007,0,0,0,0
1,7,84.8433,0,0,0,0
1,7,36344.8,0,0,0,0
1,7,465.918,0,0,0,0
1,8,10723.6,8.43809e+006,3.32442e+008,6.95156e+006,271392
1,8,6934.68,523971,2.04948e+007,1.00616e+006,19077.7
1,8,2273.44,3.70711e+006,218678,253184,71032.4
1,8,1504.32,1.4963e+007,1.56297e+006,1.16405e+006,264945
1,8,2715.82,6.43749e+007,6.5868e+007,1.02846e+008,1.11051e+006
1,8,85.8936,11073.8,1.35904e+008,22.2396,0.000205111
1,8,611.136,2.8793e+009,6.47592e+007,4.1481e+009,1.91242e+007
1,8,288.377,2.54305e+008,7047.57,45631.6,28248
1,8,138.807,1.80533e+008,459.904,4114.04,1726.35
1,8,2290.21,8.92354e+007,92674,459928,231201
1,8,292.755,5.42131e+007,38.0807,7.58974e+006,888.218
1,8,2747.17,1.05118e+008,7.18271e+006,7.47059e+006,2.00181e+006
1,8,258.891,1520.69,6.63214e+008,0.00288153,4.36844e-010
1,8,277.521,0,0,0,0
1,8,126.745,0,0,0,0
1,8,6731.7,0,0,0,0
1,8,628.014,0,0,0,0
1,8,85.8936,0,0,0,0
1,8,2615.96,0,0,0,0
1,8,1450.52,0,0,0,0
1,8,2273.44,0,0,0,0
1,8,10723.6,0,0,0,0
2,0,1320.23,34594.9,0,0,0
2,0,6873.33,4.15876e+007,0,0,0
2,0,1888.89,61138.4,0,0,0
2,0,20261.8,2.41151e+009,0,0,0
2,0,744.016,2.59036e+009,0,0,0
2,0,1833.93,4.95567e+008,0,0,0
2,0,20261.8,4.14782e+008,0,0,0
2,0,301.747,9.03015e+008,0,0,0
2,0,6890.68,4.67351e+011,0,0,0
2,0,329.514,2.03017e+008,0,0,0
2,0,15642.9,4.83948e+010,0,0,0
2,0,1888.89,3.6075e+008,0,0,0
2,0,309.253,1.14441e+008,0,0,0
2,0,715.516,9.83537e+008,0,0,0
2,0,312.792,1.54606e+009,0,0,0
2,0,1320.23,2.0307e+011,0,0,0
2,0,7079.54,2.87816e+009,0,0,0
2,0,1698.46,6.42298e+007,0,0,0
2,0,14814.8,9.37374e+008,0,0,0
2,0,19294.6,1.84168e+008,0,0,0
2,1,154749,0,1721.44,774.897,51105.4
2,1,15548.1,0,4.13851e+008,1.0985e+006,1.06444e+007
2,1,103335,0,2.83683e+010,9.66623e+008,9.4999e+008
2,2,55450.5,1.2829e+008,3.37925e+008,443409,3.19111e+006
2,2,1343.79,4.2288e+006,2057.27,197.988,35.2423
2,2,934.083,342606,365.95,16.0577,8.76017
2,2,2705.87,3.50729e+006,123167,5532.43,1990.8
2,2,3430.04,2.10357e+008,7.14446e+006,375208,226652
2,2,6765.24,1.2522e+008,6.7232e+007,977242,2.05073e+006
2,2,3458.65,2.41221e+010,1.15954e+007,1.09044e+006,593015
2,2,8202.12,1.68012e+009,1.06619e+010,4.97931e+007,3.08188e+008
2,2,339.279,5.54421e+008,659949,255.997,783.577
2,2,2651.17,1.68547e+008,215600,328.269,1113.4
2,2,3399.72,4.36749e+009,4.99716e+006,24637.9,50403.4
2,2,6919.52,3.41204e+009,4.11131e+006,6807.97,18017.7
2,2,328.384,562538,2091.52,0.045976,0.124881
2,2,8710.26,3.09073e+007,122581,12530.9,370.223
2,2,864.158,1.07675e+008,203247,4.44508,10.0559
2,2,974.715,9.20409e+008,546339,797.271,2044.3
2,3,58.3544,2.89986e+007,0,0,0
2,3,26.2949,1.33791e+007,0,0,0
2,3,234.198,3.27065e+008,0,0,0
2,3,63.7152,3.36025e+008,0,0,0
2,3,5.49035,1.68917e+009,0,0,0
2,3,129.047,1.03647e+008,0,0,0
2,3,197.299,3.62673e+007,0,0,0
2,4,1057.05,0,1.02492e+007,33986.9,53124.1
2,5,139.707,1.61985e+007,200181,0.0840587,0.234456
2,5,299.973,1.00673e+007,12189,4.41108,18.3786
2,5,524.411,5.34584e+007,70872,30.9404,94.8946
2,5,152.388,1.00658e+007,237795,0.12718,0.101948
2,5,795.303,6.53661e+007,87759.9,24.2697,73.1903
2,6,3783.24,5.71121e+007,0,0,0
2,6,32269.9,3.16631e+008,0,0,0
2,6,115.383,1.04191e+007,0,0,0
2,6,197.911,7.81973e+006,0,0,0
2,6,165.791,5.98763e+007,0,0,0
