Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
64817.9,1,10000,H,Ecto,3035.84
64817.9,1,10000,H,Endo,4.87381e+006
64817.9,1,100000,H,Endo,347550
64817.9,1,10000,O,Endo,88.1787
64817.9,1,10000,C,Ecto,17.5756
64817.9,1,10000,C,Endo,103522
26904.1,1,10000,H,Ecto,1.06767e+007
26904.1,1,10000,H,Endo,1.08356e+009
26904.1,1,100000,H,Endo,1.5456e+006
26904.1,1,1000,O,Ecto,8697.06
26904.1,1,10000,O,Ecto,1.68805e+006
26904.1,1,1000,O,Endo,337740
26904.1,1,10000,O,Endo,270009
26904.1,1,1000,C,Ecto,5048.65
26904.1,1,10000,C,Ecto,206901
26904.1,1,10000,C,Endo,2.93653e+009
1658.86,1,10,H,Ecto,533704
1658.86,1,100,H,Ecto,2.00685e+007
1658.86,1,1000,H,Ecto,1.04237e+006
1658.86,1,10,H,Endo,774188
1658.86,1,1000,H,Endo,4.57406e+008
1658.86,1,10000,H,Endo,154356
1658.86,1,100,O,Ecto,2.86798e+007
1658.86,1,1000,O,Ecto,1.45011e+007
1658.86,1,100,O,Endo,1.57085e+009
1658.86,1,1000,O,Endo,5.40993e+009
1658.86,1,10,C,Ecto,7161.67
1658.86,1,100,C,Ecto,2.32617e+010
1658.86,1,1000,C,Ecto,1.21845e+006
1658.86,1,1000,C,Endo,5.72108e+008
26134.4,1,100,H,Ecto,5110.96
26134.4,1,1000,H,Ecto,36037.8
26134.4,1,10000,H,Ecto,116.49
26134.4,1,1000,H,Endo,2.59556e+009
26134.4,1,10000,H,Endo,4.35923e+007
26134.4,1,100,O,Ecto,96350.4
26134.4,1,1000,O,Ecto,1.15518e+006
26134.4,1,10000,O,Ecto,106.282
26134.4,1,100,O,Endo,3.73499e+006
26134.4,1,1000,O,Endo,1.55154e+010
26134.4,1,100,C,Ecto,1.47173e+008
26134.4,1,1000,C,Ecto,1.51049e+008
26134.4,1,10000,C,Ecto,58891.7
26134.4,1,1000,C,Endo,9.87982e+007
26134.4,1,10000,C,Endo,1.9078e+006
1658.86,1,1,H,Ecto,5832.92
1658.86,1,10,H,Ecto,162.53
1658.86,1,100,H,Ecto,0.00036386
1658.86,1,10,H,Endo,165978
1658.86,1,10,O,Ecto,350.942
1658.86,1,100,O,Ecto,716452
1658.86,1,100,O,Endo,0.59021
1658.86,1,10,C,Ecto,2.87139e+007
1658.86,1,100,C,Ecto,5.44861e+006
32087.4,2,100,H,Ecto,0.11409
32087.4,2,1000,H,Ecto,324.756
32087.4,2,10000,H,Ecto,6.36945
32087.4,2,1000,H,Endo,4.88603e+006
32087.4,2,10000,H,Endo,235109
32087.4,2,100,O,Ecto,145.354
32087.4,2,1000,O,Ecto,1585.9
32087.4,2,10000,O,Ecto,5.58905
32087.4,2,100,O,Endo,9210.96
32087.4,2,1000,O,Endo,5.29546e+007
32087.4,2,1000,C,Ecto,715556
32087.4,2,10000,C,Ecto,342.154
32087.4,2,1000,C,Endo,285814
32087.4,2,10000,C,Endo,208255
6734.57,2,100,H,Ecto,7031.98
6734.57,2,1000,H,Ecto,24785.1
6734.57,2,1000,H,Endo,2.34713e+008
6734.57,2,10000,H,Endo,350146
6734.57,2,100,O,Ecto,110376
6734.57,2,1000,O,Ecto,296022
6734.57,2,100,O,Endo,347683
6734.57,2,1000,O,Endo,3.75837e+008
6734.57,2,100,C,Ecto,1.25001e+007
6734.57,2,1000,C,Ecto,3.47752e+006
6734.57,2,10000,C,Ecto,449.812
6734.57,2,1000,C,Endo,3.5126e+006
6734.57,2,10000,C,Endo,2389.43
259.62,2,10,H,Ecto,6977.61
259.62,2,100,H,Ecto,17618.2
259.62,2,1000,H,Ecto,4908.02
259.62,2,10,H,Endo,256115
259.62,2,1000,H,Endo,1231.28
259.62,2,10,O,Ecto,28219.7
259.62,2,100,O,Ecto,1.39938e+009
259.62,2,100,O,Endo,1.36433e+006
259.62,2,1000,O,Endo,15137
259.62,2,10,C,Ecto,72020.3
259.62,2,100,C,Ecto,1.67233e+009
259.62,2,1000,C,Ecto,9958.25
259.62,2,1000,C,Endo,3.41654e+008
4404.76,2,100,H,Ecto,1.769e+006
4404.76,2,1000,H,Ecto,1.24323e+006
4404.76,2,10,H,Endo,66841.3
4404.76,2,1000,H,Endo,9.03666e+007
4404.76,2,100,O,Ecto,1.63114e+006
4404.76,2,1000,O,Ecto,655015
4404.76,2,100,O,Endo,5.24958e+007
4404.76,2,1000,O,Endo,2.22052e+008
4404.76,2,10,C,Ecto,26595.1
4404.76,2,100,C,Ecto,3.13981e+008
4404.76,2,1000,C,Ecto,3.02846e+006
4404.76,2,1000,C,Endo,4.8312e+006
291.851,2,1,H,Ecto,0.0106808
291.851,2,10,H,Ecto,6.05691e+008
291.851,2,1,O,Ecto,305.282
291.851,2,10,O,Ecto,1.3341e-014
291.851,2,10,C,Ecto,0.794483
4019.33,2,10,H,Ecto,1.22596e+006
4019.33,2,100,H,Ecto,3.00476e+006
4019.33,2,1000,H,Ecto,1.08305e+006
4019.33,2,10,H,Endo,1.84117e+007
4019.33,2,1000,H,Endo,862776
4019.33,2,10,O,Ecto,4.34719e+006
4019.33,2,100,O,Ecto,3.63197e+009
4019.33,2,100,O,Endo,1.39394e+008
4019.33,2,1000,O,Endo,1.25903e+006
4019.33,2,10,C,Ecto,279078
