GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,2.25109e+012
0,1,1.07323e+013
1,0,1.97252e+012
1,1,7.04943e+012
2,0,2.74379e+012
2,1,2.23388e+013
3,0,2.30299e+012
3,1,1.6807e+013
4,0,2.63855e+012
4,1,1.41199e+013
5,0,2.23992e+012
5,1,1.32582e+013
6,0,2.92232e+012
6,1,2.57442e+013
7,0,2.33395e+012
7,1,1.92603e+013
8,0,2.19741e+012
8,1,8.99081e+012
9,0,1.65378e+012
9,1,5.50719e+012
10,0,2.98095e+012
10,1,2.66817e+013
11,0,1.97415e+012
11,1,7.25251e+012
12,0,3.19604e+012
12,1,1.90679e+013
13,0,2.7976e+012
13,1,1.4671e+013
14,0,2.58282e+012
14,1,1.11673e+013
15,0,2.78421e+012
15,1,1.66761e+013
