Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,7.51195e+009,1.74165e+010,1.48731e+010,1.69883e+009,5.18148e+009,4.30621e+009,6.28249e+009,9.12479e+009,8.37481e+009
2, 1,4.54277e+009,1.83689e+010,1.35967e+010,3.20318e+008,8.16951e+008,8.9536e+008,3.08716e+009,5.65971e+009,4.29231e+009
3, 1,4.25642e+009,1.57222e+010,9.58682e+009,1.69894e+008,1.52931e+008,9.55659e+008,1.96411e+009,3.93416e+009,2.11145e+009
4, 1,4.56127e+009,1.31341e+010,6.63376e+009,4.35997e+007,3.38067e+007,1.60602e+009,1.66624e+009,3.08448e+009,1.69398e+009
5, 1,4.72587e+009,9.61742e+009,5.51707e+009,1.38544e+008,3.05706e+007,2.17425e+009,1.64164e+009,2.85921e+009,1.57565e+009
6, 1,4.78656e+009,7.98843e+009,4.68829e+009,3.56645e+008,1.0847e+007,2.77309e+009,1.6602e+009,2.80344e+009,1.35048e+009
7, 1,4.89208e+009,6.42305e+009,3.83522e+009,1.03178e+009,4.28197e+007,3.1948e+009,1.59428e+009,2.7074e+009,1.17266e+009
8, 1,4.32999e+009,6.0823e+009,2.85346e+009,2.32654e+009,1.39244e+008,3.20262e+009,1.45248e+009,2.32851e+009,9.94852e+008
9, 1,3.78542e+009,6.01773e+009,1.9601e+009,3.21092e+009,3.18657e+008,2.94488e+009,1.27423e+009,1.89499e+009,7.92477e+008
10, 1,3.28125e+009,4.78249e+009,1.54182e+009,4.37445e+009,3.95396e+008,2.66946e+009,1.10987e+009,1.73882e+009,6.84571e+008
11, 1,2.70451e+009,4.08497e+009,1.16221e+009,5.47713e+009,3.35547e+008,2.71539e+009,1.04507e+009,1.4938e+009,6.30578e+008
12, 1,2.23651e+009,3.17755e+009,1.13927e+009,8.99115e+009,4.36971e+008,2.28978e+009,9.17742e+008,1.36698e+009,5.62701e+008
13, 2,2.28617e+009,2.78505e+009,1.03498e+009,1.0673e+010,7.16912e+008,3.58496e+009,8.16395e+008,1.10988e+009,4.68995e+008
14, 2,2.57481e+009,2.21655e+009,9.98678e+008,1.32667e+010,1.26457e+009,5.25467e+009,7.97232e+008,1.07426e+009,4.08869e+008
15, 2,3.27313e+009,2.00103e+009,1.15468e+009,1.4837e+010,1.74702e+009,6.16511e+009,8.6962e+008,1.00944e+009,3.78394e+008
16, 2,4.33019e+009,1.72936e+009,8.90767e+008,1.70997e+010,2.5967e+009,8.17526e+009,7.97153e+008,8.96801e+008,3.55263e+008
17, 2,4.65018e+009,1.52099e+009,1.25367e+009,1.99467e+010,4.88834e+009,7.23874e+009,7.71774e+008,1.19563e+009,3.73312e+008
18, 2,4.49739e+009,1.26662e+009,2.5813e+009,1.95855e+010,5.9129e+009,8.24144e+009,5.58597e+008,2.03087e+009,5.35282e+008
19, 2,4.35011e+009,1.25731e+009,4.53117e+009,1.46043e+010,6.87535e+009,8.00446e+009,3.83803e+008,3.10801e+009,8.28824e+008
20, 2,4.63392e+009,1.4424e+009,4.2546e+009,1.44316e+010,5.40332e+009,4.50591e+009,3.37742e+008,2.57427e+009,1.10936e+009
21, 2,4.72608e+009,1.41959e+009,4.2715e+009,1.42452e+010,3.12664e+009,3.26695e+009,3.24467e+008,2.4672e+009,8.19937e+008
22, 2,4.76205e+009,1.49005e+009,4.0875e+009,1.19925e+010,2.22999e+009,2.97352e+009,3.17215e+008,1.50058e+009,5.99691e+008
23, 2,5.02649e+009,1.53332e+009,3.65136e+009,1.17396e+010,1.55333e+009,3.12085e+009,3.32775e+008,1.56573e+009,5.12916e+008
